Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630422969427,0401E411,true,Rx,0,7,00,01,02,00,00,00,00,00,
-1762630422969299,0401E411,true,Rx,0,7,01,01,04,00,00,00,00,00,
-1762630422969128,0401E451,true,Rx,0,8,01,E7,72,FE,FF,FF,00,00,
-1762630422969000,0401E451,true,Rx,0,8,00,E7,4B,FF,FF,FF,00,00,
-1762630422967166,04098C31,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630422967080,04098C51,true,Rx,0,3,00,ED,FF,00,00,00,00,00,
-1762630422965416,0405200C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630422965288,040A2011,true,Rx,0,8,EB,FF,F5,FF,D0,03,EB,8E,
-1762630422965118,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,EA,8E,
-1762630422964179,040A2012,true,Rx,0,8,0C,00,FD,FF,EB,03,EB,8E,
-1762630422964051,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,EB,8E,
-1762630422962345,0405200B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630422962217,0405C40F,true,Rx,0,8,00,01,46,40,6C,51,76,2E,
-1762630422962089,0405C42F,true,Rx,0,8,00,64,AC,29,E3,FF,46,00,
-1762630422961961,0405C40F,true,Rx,0,8,01,01,E7,3F,1B,52,6C,1D,
-1762630422961833,0405C42F,true,Rx,0,8,01,64,BC,29,44,00,DC,FF,
-1762630422961705,0405C52F,true,Rx,0,5,01,D5,FF,D4,FF,00,00,00,
-1762630422961534,0405C40F,true,Rx,0,8,02,01,3B,41,B9,51,54,D5,
-1762630422961406,0405C42F,true,Rx,0,8,02,64,95,28,0D,00,4B,00,
-1762630422961321,0405C52F,true,Rx,0,5,02,07,00,EE,FF,00,00,00,
-1762630422961193,0405C52F,true,Rx,0,5,00,F6,FF,07,00,00,00,00,
-1762630422960467,0405C410,true,Rx,0,8,00,01,BD,45,30,87,78,72,
-1762630422960339,0405C430,true,Rx,0,8,00,64,81,08,BF,FF,79,FE,
-1762630422960169,0405C410,true,Rx,0,8,01,01,7A,4C,D0,87,53,48,
-1762630422960041,0405C430,true,Rx,0,8,01,64,97,2C,FC,01,7B,FF,
-1762630422959913,0405C530,true,Rx,0,5,00,E5,FF,B8,00,00,00,00,
-1762630422959785,0401E412,true,Rx,0,7,00,01,00,00,00,00,00,00,
-1762630422959657,0401E412,true,Rx,0,7,01,01,02,00,00,00,00,00,
-1762630422959529,0401E452,true,Rx,0,8,01,F0,C9,F5,FF,FF,00,00,
-1762630422959358,0401E452,true,Rx,0,8,00,F0,44,F5,FF,FF,00,00,
-1762630422959230,0405C410,true,Rx,0,8,02,01,51,45,6A,89,2A,8B,
-1762630422959102,0405C430,true,Rx,0,8,02,64,C5,2D,2F,00,84,FF,
-1762630422958974,0405C530,true,Rx,0,5,02,66,00,A4,00,00,00,00,
-1762630422958889,0405C530,true,Rx,0,5,01,9F,00,63,01,00,00,00,
-1762630422955518,04072001,true,Rx,0,4,00,00,00,01,00,00,00,00,
-1762630422951337,1C0000D5,true,Rx,0,8,02,FD,09,00,00,0F,2B,80,
-1762630422951209,1C0000D5,true,Rx,0,5,00,77,16,40,03,00,00,00,
-1762630422949417,0401E411,true,Rx,0,7,00,01,01,00,00,00,00,00,
-1762630422949289,0401E411,true,Rx,0,7,01,01,04,00,00,00,00,00,
-1762630422949161,0401E451,true,Rx,0,8,01,FB,72,FE,FF,FF,00,00,
-1762630422948990,0401E451,true,Rx,0,8,00,FB,4B,FF,FF,FF,00,00,
-1762630422948862,1C0002A6,true,Rx,0,8,02,FD,09,00,00,0F,2B,80,
-1762630422948734,1C0002A6,true,Rx,0,5,00,77,17,1E,03,00,00,00,
-1762630422945705,040A2011,true,Rx,0,8,E8,FF,F8,FF,CE,03,FE,8E,
-1762630422945577,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,FE,8E,
-1762630422944127,040A2012,true,Rx,0,8,0C,00,FC,FF,EA,03,FF,8E,
-1762630422943999,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,FF,8E,
-1762630422942463,1C0000CA,true,Rx,0,8,02,FD,09,00,00,10,2B,80,
-1762630422942377,1C0000CA,true,Rx,0,5,00,D5,16,40,03,00,00,00,
-1762630422940841,1C000146,true,Rx,0,8,02,FD,09,00,00,10,2B,80,
-1762630422940713,1C000146,true,Rx,0,5,00,D5,17,1E,03,00,00,00,
-1762630422939945,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630422939775,0401E412,true,Rx,0,7,00,01,04,00,00,00,00,00,
-1762630422939647,0401E412,true,Rx,0,7,01,01,00,00,00,00,00,00,
-1762630422939519,0401E452,true,Rx,0,8,01,04,C9,F5,FF,FF,00,00,
